##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	19ANBe21D0042PfFxxx0_S40_L001_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14292
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.401133501259444	33.0	32.0	34.0	32.0	34.0
2	32.64819479429051	33.0	33.0	34.0	32.0	35.0
3	32.83095438007277	34.0	33.0	34.0	32.0	35.0
4	32.91498740554156	34.0	33.0	34.0	32.0	35.0
5	32.855443604813885	34.0	33.0	34.0	32.0	35.0
6	35.677651833193394	37.0	37.0	37.0	34.0	37.0
7	35.72439126784215	37.0	37.0	37.0	34.0	37.0
8	35.68513853904282	37.0	37.0	37.0	34.0	37.0
9	35.619857262804366	37.0	37.0	37.0	34.0	37.0
10-14	36.12415337251609	37.4	37.4	37.4	35.4	37.4
15-19	36.93581024349287	38.0	38.0	38.0	37.0	38.0
20-24	37.266330814441645	38.4	38.4	38.4	37.6	38.4
25-29	37.69150573747551	39.0	38.8	39.0	37.2	39.0
30-34	37.68261964735517	39.0	38.8	39.0	37.4	39.0
35-39	38.241129337096034	39.0	39.0	39.0	38.0	39.0
40-44	38.29476641715481	39.0	39.0	39.0	38.0	39.0
45-49	38.34957501009841	39.0	39.0	39.0	38.0	39.0
50-54	38.301607312568805	39.0	39.0	39.0	38.0	39.0
55-59	38.289592223475445	39.0	38.8	39.0	37.4	39.4
60-64	38.32102256872329	39.0	38.8	39.0	37.8	39.2
65-69	38.253311296123016	39.0	38.8	39.0	37.6	39.0
70-74	38.25732749888888	39.0	39.0	39.0	37.8	39.0
75-79	38.23917425818219	39.0	39.0	39.0	38.0	39.0
80-84	38.28862681476886	39.0	39.0	39.0	38.0	39.0
85-89	38.21177277796216	39.0	38.6	39.0	37.6	39.0
90-94	38.20554409726548	39.0	38.8	39.0	37.8	39.0
95-99	38.24338471558846	39.0	39.0	39.0	38.0	39.0
100-104	38.23300153965137	39.0	39.0	39.0	38.0	39.0
105-109	38.246615735640844	39.0	39.0	39.0	38.0	39.0
110-114	38.23827772761054	39.0	39.0	39.0	38.0	39.0
115-119	38.25506896725558	39.0	39.0	39.0	38.0	39.0
120-124	38.146902718679385	39.0	38.6	39.0	37.8	39.0
125-129	38.204182235257846	39.0	38.8	39.0	38.0	39.0
130-134	38.14762606508238	39.0	38.8	39.0	38.0	39.0
135-139	38.09770778436333	39.0	38.6	39.0	37.8	39.0
140-144	38.04704409773309	39.0	38.4	39.0	37.8	39.0
145-149	37.97622167986269	39.0	38.2	39.0	37.6	39.0
150-154	37.76474949489456	39.0	38.0	39.0	37.0	39.0
155-159	37.58668325410936	39.0	38.0	39.0	36.6	39.0
160-164	37.38636130785687	39.0	38.0	39.0	35.2	39.0
165-169	36.923117993379506	39.0	38.0	39.0	33.0	39.0
170-174	36.63790695873074	39.0	37.4	39.0	31.2	39.0
175-179	36.33997726643366	39.0	37.0	39.0	30.2	39.0
180-184	36.361405106207144	39.0	37.6	39.0	30.8	39.0
185-189	36.498889787728864	39.0	38.0	39.0	31.4	39.0
190-194	36.72724472960023	39.0	38.0	39.0	33.6	39.0
195-199	37.00735994780216	39.0	38.0	39.0	35.2	39.0
200-204	37.0917547659922	39.0	38.0	39.0	36.4	39.0
205-209	36.87844126483331	39.0	38.0	39.0	35.2	39.0
210-214	36.80820350781799	38.8	38.0	39.0	34.4	39.0
215-219	36.65493350803784	38.0	37.6	39.0	33.8	39.0
220-224	36.360628392030684	38.0	37.0	39.0	33.2	39.0
225-229	36.1059305682176	38.0	37.0	39.0	32.6	39.0
230-234	35.89214613579135	38.0	37.0	38.8	31.0	39.0
235-239	35.38977650658173	37.8	37.0	38.0	26.6	39.0
240-244	35.09513671141978	37.2	37.0	38.0	25.6	39.0
245-249	34.79764500281837	37.0	37.0	38.0	24.6	38.4
250-251	33.20401502243504	37.0	32.0	38.0	19.0	38.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.07833744759217609
1101	2	-0.0544561341640204
1101	3	-0.031751302848633145
1101	4	-0.11111339681046672
1101	5	-0.16579973355275968
1101	6	-0.1648152501861233
1101	7	-0.09909388346851244
1101	8	-0.1961512088084305
1101	9	-0.054042749108575094
1101	10-14	-0.12945280357352118
1101	15-19	-0.17214529211237561
1101	20-24	-0.2094289016888098
1101	25-29	-0.18332725990360643
1101	30-34	-0.12339445946474825
1101	35-39	-0.117115190263128
1101	40-44	-0.033221139538547106
1101	45-49	-0.07044130653749647
1101	50-54	0.03500269170720571
1101	55-59	0.007762677082766345
1101	60-64	0.05844740542616478
1101	65-69	0.0687744044421521
1101	70-74	-0.0313623425980154
1101	75-79	0.003983027148272811
1101	80-84	0.10036644886116619
1101	85-89	0.1553685463601724
1101	90-94	0.1262694928908985
1101	95-99	0.1623796524355967
1101	100-104	0.14810730226574265
1101	105-109	0.2167206998070128
1101	110-114	0.1582329398007829
1101	115-119	0.22430514808465318
1101	120-124	0.18610263361264856
1101	125-129	0.22046513041983218
1101	130-134	0.34836689766943607
1101	135-139	0.30476893051314846
1101	140-144	0.3162646453381157
1101	145-149	0.46624340139946696
1101	150-154	0.5761820522902426
1101	155-159	0.33264726741811046
1101	160-164	0.7008459128520741
1101	165-169	0.5776753340994816
1101	170-174	0.6658113826163543
1101	175-179	0.587288891228603
1101	180-184	0.8273975011702746
1101	185-189	0.8473146183579487
1101	190-194	1.0586236926913557
1101	195-199	0.6997032623444
1101	200-204	1.0389541919944847
1101	205-209	0.9488774251903962
1101	210-214	1.2401618956460538
1101	215-219	0.838341909927685
1101	220-224	1.0040445593452603
1101	225-229	0.785368303905237
1101	230-234	0.943095132019522
1101	235-239	1.210523409363745
1101	240-244	1.1741471829588264
1101	245-249	1.133410414909271
1101	250-251	2.061148931713447
1102	1	0.0783374475921832
1102	2	0.0544561341640204
1102	3	0.031751302848633145
1102	4	0.11111339681047383
1102	5	0.16579973355275968
1102	6	0.1648152501861233
1102	7	0.09909388346851955
1102	8	0.1961512088084305
1102	9	0.0540427491085822
1102	10-14	0.12945280357352829
1102	15-19	0.17214529211238272
1102	20-24	0.2094289016888098
1102	25-29	0.18332725990361354
1102	30-34	0.12339445946475536
1102	35-39	0.1171151902631351
1102	40-44	0.033221139538547106
1102	45-49	0.07044130653750358
1102	50-54	-0.03500269170720571
1102	55-59	-0.0077626770827592395
1102	60-64	-0.05844740542617188
1102	65-69	-0.06877440444215921
1102	70-74	0.0313623425980083
1102	75-79	-0.003983027148265705
1102	80-84	-0.10036644886115909
1102	85-89	-0.1553685463601724
1102	90-94	-0.1262694928908985
1102	95-99	-0.1623796524355967
1102	100-104	-0.14810730226574975
1102	105-109	-0.2167206998070057
1102	110-114	-0.1582329398007758
1102	115-119	-0.22430514808465318
1102	120-124	-0.18610263361264856
1102	125-129	-0.22046513041982507
1102	130-134	-0.34836689766942897
1102	135-139	-0.30476893051314136
1102	140-144	-0.3162646453381157
1102	145-149	-0.46624340139946696
1102	150-154	-0.5761820522902426
1102	155-159	-0.33264726741811756
1102	160-164	-0.7008459128520741
1102	165-169	-0.5776753340994887
1102	170-174	-0.6658113826163614
1102	175-179	-0.587288891228603
1102	180-184	-0.8273975011702746
1102	185-189	-0.8473146183579487
1102	190-194	-1.0586236926913557
1102	195-199	-0.6997032623444
1102	200-204	-1.0389541919944847
1102	205-209	-0.9488774251903962
1102	210-214	-1.240161895646061
1102	215-219	-0.838341909927685
1102	220-224	-1.0040445593452674
1102	225-229	-0.785368303905237
1102	230-234	-0.943095132019522
1102	235-239	-1.210523409363752
1102	240-244	-1.1741471829588264
1102	245-249	-1.1334104149092639
1102	250-251	-2.061148931713447
>>END_MODULE
>>Per sequence quality scores	pass
#Quality	Count
2	272.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	1.0
17	0.0
18	4.0
19	3.0
20	4.0
21	4.0
22	2.0
23	7.0
24	10.0
25	7.0
26	14.0
27	29.0
28	19.0
29	42.0
30	55.0
31	85.0
